,characters,fa_list
0,K02257,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>]"
1,K02274,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
2,K02259,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>]"
3,K02275,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
4,K01772,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T08201>, <TN: T00984>, <TN: T01485>]"
5,K00627,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>]"
6,K02276,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
7,K01669,"[<TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: Micrococcaceae>, <TN: T06554>, <TN: T02545>, <TN: T06794>]"
8,K21636,"[<TN: Campylobacter>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T00925>, <TN: T03770>]"
9,K03635,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>, <TN: T07267>]"
10,K00164,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
11,K04068,"[<TN: Bifidobacterium>, <TN: T08780>, <TN: T00398>, <TN: T03770>, <TN: T05201>, <TN: T02545>]"
12,K01724,"[<TN: Pseudomonadota>, <TN: T00447>, <TN: T02545>, <TN: T06794>]"
13,K00162,"[<TN: Staphylococcus>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
14,K00161,"[<TN: Staphylococcus>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
15,K01011,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04453>, <TN: T06554>]"
16,K00135,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacilli>, <TN: T00577>, <TN: T06554>, <TN: T06252>, <TN: T02505>, <TN: T04222>]"
17,K13628,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
18,K01255,"[<TN: Actinomycetes>, <TN: Staphylococcus>, <TN: T06584>, <TN: T04182>, <TN: T06719>]"
19,K03636,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>, <TN: T07267>]"
20,K06886,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>]"
21,K08303,"[<TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: Bifidobacterium>, <TN: T04481>, <TN: T03770>]"
22,K02221,"[<TN: Bacilli>, <TN: T06554>, <TN: T06584>]"
23,K07152,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T02545>]"
24,K01589,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacilli>, <TN: T06554>, <TN: T06584>, <TN: T02133>]"
25,K17828,"[<TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T00398>]"
26,K00573,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>]"
27,K03980,"[<TN: T00964>, <TN: T06584>, <TN: T07941>]"
28,K01419,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
29,K03667,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
30,K00632,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04182>, <TN: T06794>]"
31,K01638,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T07354>]"
32,K00262,"[<TN: Corynebacterium>, <TN: Eubacteriales>, <TN: T00577>, <TN: T04481>]"
33,K03820,"[<TN: Actinomycetes>, <TN: T06554>, <TN: T05843>, <TN: T02133>]"
34,K01493,"[<TN: Coriobacteriia>, <TN: T04721>]"
35,K03074,[<TN: Actinomycetes>]
36,K02823,"[<TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T00398>]"
37,K00228,[<TN: Pseudomonadota>]
38,K07133,"[<TN: Campylobacterales>, <TN: Bacteroidales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: Lactobacillus>, <TN: T08201>, <TN: T01461>, <TN: T05143>]"
39,K06980,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
40,K00254,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T02133>, <TN: T00122>]"
41,K03737,"[<TN: Campylobacter>, <TN: Coriobacteriia>]"
42,K03179,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T06584>, <TN: T02545>, <TN: T02133>]"
43,K01903,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T06794>, <TN: T00122>]"
44,K07146,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Staphylococcus>, <TN: Corynebacterium>]"
