,characters,fa_list
0,K02257,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
1,K02274,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
2,K02259,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
3,K02275,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
4,K01772,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T08201>, <TN: T01485>]"
5,K00627,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
6,K02276,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
7,K01669,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>]"
8,K21636,"[<TN: Gammaproteobacteria>, <TN: Bifidobacterium>, <TN: T00925>]"
9,K03635,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
10,K00164,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
11,K04068,"[<TN: Gammaproteobacteria>, <TN: T00398>, <TN: T05201>]"
12,K01724,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T00447>, <TN: T02545>]"
13,K00162,"[<TN: Bacilli>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
14,K00161,"[<TN: Bacilli>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
15,K01011,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04453>]"
16,K00135,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>]"
17,K13628,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
18,K01255,[<TN: T06719>]
19,K03636,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
20,K06886,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
21,K08303,"[<TN: Comamonadaceae>, <TN: Gammaproteobacteria>, <TN: Bifidobacterium>]"
22,K02221,[]
23,K07152,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T02545>]"
24,K01589,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T06584>, <TN: T02133>]"
25,K17828,"[<TN: Bifidobacterium>, <TN: T00398>]"
26,K00573,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>]"
27,K03980,[<TN: T07941>]
28,K01419,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
29,K03667,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
30,K00632,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Eubacteriales>]"
31,K01638,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
32,K00262,"[<TN: Comamonadaceae>, <TN: Eubacteriales>]"
33,K03820,[<TN: T02133>]
34,K01493,[<TN: Comamonadaceae>]
35,K03074,[]
36,K02823,"[<TN: Bifidobacterium>, <TN: T00398>]"
37,K00228,[<TN: Pseudomonadota>]
38,K07133,"[<TN: Campylobacterales>, <TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: Lactobacillus>, <TN: T08201>, <TN: T01461>]"
39,K06980,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
40,K00254,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T02133>, <TN: T00122>]"
41,K03737,[]
42,K03179,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T06584>, <TN: T02545>, <TN: T02133>]"
43,K01903,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T00122>]"
44,K07146,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>]"
0,K22132,"[<TN: Micrococcales>, <TN: Corynebacterium>]"
1,K00332,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T02545>]"
