,fname1,fname2,distance,runtime
0,K00262_sankoff.gr,K00262_sankoff.gr,0,0.001529693603515625
1,K00262_sankoff.gr,K00254_genesis.gr,7,0.001332998275756836
2,K00262_sankoff.gr,K01419_fitch.gr,7,0.0013113021850585938
3,K00262_sankoff.gr,K01638_genesis.gr,4,0.0013017654418945312
4,K00262_sankoff.gr,K02276_fitch.gr,6,0.0013995170593261719
5,K00262_sankoff.gr,K00573_genesis.gr,5,0.0015592575073242188
6,K00262_sankoff.gr,K07146_sankoff.gr,6,0.0019059181213378906
7,K00262_sankoff.gr,K00262_fitch.gr,10,0.002276182174682617
8,K00262_sankoff.gr,K06980_fitch.gr,6,0.002168416976928711
9,K00262_sankoff.gr,K01419_genesis.gr,7,0.0017592906951904297
10,K00262_sankoff.gr,K03980_sankoff.gr,3,0.0014002323150634766
11,K00262_sankoff.gr,K01589_fitch.gr,14,0.001651763916015625
12,K00262_sankoff.gr,K02275_sankoff.gr,4,0.0013113021850585938
13,K00262_sankoff.gr,K06980_sankoff.gr,4,0.0012881755828857422
14,K00262_sankoff.gr,K00164_sankoff.gr,4,0.0012745857238769531
15,K00262_sankoff.gr,K03636_fitch.gr,9,0.0014307498931884766
16,K00262_sankoff.gr,K02257_fitch.gr,7,0.0013048648834228516
17,K00262_sankoff.gr,K21636_sankoff.gr,7,0.0013275146484375
18,K00262_sankoff.gr,K01638_sankoff.gr,5,0.0012843608856201172
19,K00262_sankoff.gr,K01255_sankoff.gr,7,0.0012879371643066406
20,K00262_sankoff.gr,K00228_sankoff.gr,3,0.0016069412231445312
21,K00262_sankoff.gr,K02276_sankoff.gr,4,0.00237274169921875
22,K00262_sankoff.gr,K02823_sankoff.gr,5,0.0016405582427978516
23,K00262_sankoff.gr,K02276_genesis.gr,4,0.0014307498931884766
24,K00262_sankoff.gr,K01669_fitch.gr,9,0.0013401508331298828
25,K00262_sankoff.gr,K01669_sankoff.gr,8,0.0014278888702392578
26,K00262_sankoff.gr,K03074_sankoff.gr,3,0.0019881725311279297
27,K00262_sankoff.gr,K07133_sankoff.gr,10,0.002236604690551758
28,K00262_sankoff.gr,K08303_sankoff.gr,7,0.0021164417266845703
29,K00262_sankoff.gr,K03636_genesis.gr,6,0.0014438629150390625
30,K00262_sankoff.gr,K04068_sankoff.gr,8,0.0021355152130126953
31,K00262_sankoff.gr,K02275_genesis.gr,4,0.0018451213836669922
32,K00262_sankoff.gr,K00632_fitch.gr,10,0.0016522407531738281
33,K00262_sankoff.gr,K13628_fitch.gr,4,0.0023832321166992188
34,K00262_sankoff.gr,K00254_fitch.gr,7,0.002068042755126953
