,characters,fa_list
0,K02257,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T02545>]"
1,K02274,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: T02545>]"
2,K02259,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T02545>]"
3,K02275,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: T02545>]"
4,K01772,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T08201>, <TN: T00984>, <TN: T02545>, <TN: T01485>]"
5,K00627,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T02545>]"
6,K02276,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: T02545>]"
7,K01669,"[<TN: Burkholderiales>, <TN: Staphylococcus>, <TN: Micrococcaceae>, <TN: T06085>, <TN: T06554>, <TN: T02545>, <TN: T06794>]"
8,K21636,"[<TN: Bacteroidales>, <TN: Campylobacter>, <TN: Bacillota>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00925>, <TN: T03770>]"
9,K03635,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T05843>, <TN: T05201>, <TN: T00447>, <TN: T02545>, <TN: T07267>, <TN: T06794>]"
10,K00164,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
11,K04068,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: T01461>, <TN: T08780>, <TN: T00398>, <TN: T03770>, <TN: T05201>, <TN: T02545>]"
12,K01724,"[<TN: Pseudomonadota>, <TN: T00447>, <TN: T02545>, <TN: T06794>]"
13,K00162,"[<TN: Staphylococcus>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
14,K00161,"[<TN: Staphylococcus>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
15,K01011,"[<TN: Burkholderiales>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: T04453>, <TN: T06085>, <TN: T06554>, <TN: T02545>]"
16,K00135,"[<TN: Burkholderiales>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Lactobacillus>, <TN: T08780>, <TN: T00577>, <TN: T06085>, <TN: T06554>, <TN: T06252>, <TN: T02505>, <TN: T04222>, <TN: T02545>]"
17,K13628,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
18,K01255,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T08201>, <TN: T04453>, <TN: T06584>, <TN: T04182>, <TN: T06719>, <TN: T02545>]"
19,K03636,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Staphylococcus>, <TN: T02545>, <TN: T07267>, <TN: T06794>]"
20,K06886,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T02545>]"
21,K08303,"[<TN: Campylobacterales>, <TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T08201>, <TN: T01461>, <TN: T04481>, <TN: T03770>, <TN: T00964>, <TN: T06584>]"
22,K02221,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Burkholderiales>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>, <TN: T06085>, <TN: T06554>, <TN: T06584>]"
23,K07152,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T02545>]"
24,K01589,"[<TN: Burkholderiales>, <TN: Mycobacteriales>, <TN: Bacilli>, <TN: Bifidobacterium>, <TN: T06085>, <TN: T06554>, <TN: T06584>, <TN: T05843>, <TN: T05201>, <TN: T00447>, <TN: T02545>, <TN: T02133>]"
25,K17828,"[<TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T08201>, <TN: T04453>, <TN: T01461>, <TN: T00398>, <TN: T00964>, <TN: T06584>]"
26,K00573,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>]"
27,K03980,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T06584>, <TN: T07941>]"
